66,52
35,24
34,94
46,60
52,88
70,51
76,19
46,27
5,79
6,13
94,53
35,10
57,90
93,58
34,56
65,24
16,88
87,92
45,84
87,95
54,33
13,25
82,86
12,84
19,42
89,36
96,7
33,57
81,36
21,75
62,48
81,48
50,87
18,74
66,48
63,11
8,23
8,100
11,47
24,73
65,23
98,71
93,23
71,17
15,83
69,9
94,26
25,23
64,42
18,29
59,11
23,61
1,30
16,10
99,64
79,10
45,77
98,80
71,41
94,11
76,21
26,81
20,96
7,27
93,53
17,2
14,34
100,60
93,57
53,1
96,65
57,69
11,69
90,19
25,41
49,34
53,83
12,11
13,6
91,60
12,58
40,69
77,85
72,90
90,91
18,95
23,5
51,7
49,80
49,74
76,64
88,3
34,12
59,11
9,36
70,79
57,34
28,51
94,6
8,19
48,96
93,87
17,17
82,96
31,14
93,16
26,75
18,37
25,31
87,58
88,66
27,22
22,45
83,60
94,63
24,35
42,63
56,35
34,98
10,72
64,45
88,23
52,86
8,91
20,92
26,100
58,91
58,25
11,98
80,88
66,27
97,44
66,57
81,4
43,52
55,21
20,27
25,1
44,92
71,46
7,82
84,99
20,35
24,40
50,58
56,9
32,12
62,4
65,53
20,89
30,91
22,96
45,60
87,25
20,36
42,54
26,99
59,10
68,41
86,68
8,96
94,97
76,26
40,78
99,98
70,5
1,50
9,63
37,33
74,31
28,97
67,42
29,97
73,74
49,22
3,47
40,14
100,71
23,15
23,15
7,79
22,40
8,29
92,73
55,39
75,25
11,24
79,94
81,95
23,98
57,69
34,80
92,93
96,57
12,52
17,52
78,85
18,14
91,89
52,4
16,96
61,92
60,45
44,77
11,79
56,51
54,92
47,48
56,24
93,35
57,54
41,48
98,75
86,39
7,75
31,72
20,94
34,50
75,58
53,64
80,3
69,45
46,79
52,95
75,88
28,66
89,33
98,87
18,60
51,44
44,14
21,49
93,68
83,94
4,73
38,28
15,54
64,88
51,14
12,6
27,87
84,40
17,59
89,76
1,93
2,79
95,61
92,67
62,31
89,79
4,34
31,2
20,6
59,3
62,55
2,24
67,5
13,1
47,80
82,100
100,33
98,22
23,82
22,63
31,100
57,54
45,98
5,65
85,19
45,17
62,49
46,28
77,81
46,48
49,59
79,45
80,11
21,48
1,75
22,64
23,22
5,25
97,24
49,90
55,41
78,39
51,84
8,90
74,82
4,75
44,25
53,61
72,3
9,80
56,2
42,64
43,84
22,55
72,43
74,96
81,48
66,27
84,54
63,55
13,8
59,89
60,91
97,70
6,68
13,75
21,87
59,79
7,98
19,32
39,38
62,25
97,99
82,66
87,73
17,90
27,93
74,59
41,65
1,64
45,16
23,60
50,7
61,9
17,93
12,4
20,31
8,54
35,31
11,59
2,1
12,82
55,72
